iter	Logloss
0	0.637384772
1	0.5924314765
2	0.5598669916
3	0.5355165546
4	0.5165782607
5	0.5021700284
6	0.4915182877
7	0.4833309359
8	0.4768463853
9	0.4715780116
10	0.467883069
11	0.4645862511
12	0.4620960877
13	0.4598877595
14	0.4581139133
15	0.4565280256
16	0.4555752071
17	0.45443578
18	0.4535878503
19	0.4529022579
20	0.4522612983
21	0.451813061
22	0.451449283
23	0.4510881722
24	0.4506566436
25	0.450338301
26	0.4500259949
27	0.4497792469
28	0.4496131344
29	0.4494213541
30	0.4492023248
31	0.4489937544
32	0.4488267515
33	0.4486962634
34	0.4485583391
35	0.4484296927
36	0.4483111115
37	0.4481801882
38	0.4480750175
39	0.4479667153
40	0.4478745168
41	0.4477597596
42	0.447661472
43	0.4475522003
44	0.4474727283
45	0.4473666174
46	0.4472901696
47	0.4472206963
48	0.4471655046
49	0.4470802559
50	0.4469562352
51	0.4468694608
52	0.4467773491
53	0.4467153536
54	0.4466148213
55	0.4465395084
56	0.446395196
57	0.4462885853
58	0.4462065343
59	0.4461383066
60	0.4460664699
61	0.4459992205
62	0.4459011832
63	0.4458440978
64	0.4457886438
65	0.4457072896
66	0.4456470572
67	0.4455738423
68	0.4455085085
69	0.4454347391
70	0.445362458
71	0.4453203854
72	0.4452718022
73	0.4452193175
74	0.4451687458
75	0.4451129048
76	0.4450009187
77	0.4449383135
78	0.4448936033
79	0.4448046972
80	0.444765445
81	0.4447060831
82	0.4445971838
83	0.4445589462
84	0.4445159245
85	0.444480544
86	0.4443611014
87	0.4443088355
88	0.4442693752
89	0.4442136302
90	0.444119244
91	0.4440585108
92	0.4440015683
93	0.4439418184
94	0.4438876813
95	0.4438307457
96	0.4437587137
97	0.4436799509
98	0.4436078932
99	0.4435475755
100	0.4434920015
101	0.4434515216
102	0.4433750696
103	0.4433233404
104	0.4432727374
105	0.443216309
106	0.4431701697
107	0.4431285874
108	0.4430655682
109	0.4430151916
110	0.4429558392
111	0.4428627235
112	0.442803873
113	0.4427380262
114	0.4426500551
115	0.44258254
116	0.442520682
117	0.4424546105
118	0.4423902476
119	0.4423447337
120	0.4423079398
121	0.4422531475
122	0.4421945272
123	0.4421322179
124	0.4420645456
125	0.4419989204
126	0.4419313072
127	0.4418579546
128	0.441801181
129	0.4417250259
130	0.4416778483
131	0.4416163172
132	0.4415608754
